name,furi,summary,detail,1,date
うさぎ,うさぎ,ラビット。動物,,1,"2017/03/28 20:08:53"
洋梨,ようなし,"セイヨウナシ（西洋梨、 学名：Pyrus communis）とはヨーロッパ原産のバラ科ナシ属の植物、およびその果実であり、洋なしともいう。ヨーロッパ、北アメリカ、オーストラリアをはじめ世界中で広く食用に栽培されている。","セイヨウナシ（西洋梨、 学名：Pyrus communis）とはヨーロッパ原産のバラ科ナシ属の植物、およびその果実であり、洋なしともいう。ヨーロッパ、北アメリカ、オーストラリアをはじめ世界中で広く食用に栽培されている。",1,"2017/03/28 17:20:40"
蜜柑,みかん,ミカン科（Rutaceae）は双子葉植物の科で約150属、900種からなる。木（一部草本）の状態で存在し、温帯から熱帯に分布する。精油を含み芳香（異臭の場合もある）を有する。花に芳香のあるものも多い。,ミカン科（Rutaceae）は双子葉植物の科で約150属、900種からなる。木（一部草本）の状態で存在し、温帯から熱帯に分布する。精油を含み芳香（異臭の場合もある）を有する。花に芳香のあるものも多い。,1,"2017/03/27 15:30:30"
favicon.ico,favicon.ico,アイコン,アイコン用の画像ファイル,1,"2017/03/28 00:31:20"
アイス,あいす,お菓子,,1,"2017/03/28 20:08:53"
猫,ねこ,みゃーーーーーーーーーーーーーーー,,1,"2017/03/27 15:32:57"
資料おきば,しりょうおきば,ファイル名とか書いておくといいかも?,,4,"2017/03/28 15:00:50"
Apple,Apple,macやiphone等を製造・販売している会社,,1,"2017/03/28 15:43:40"
犬,いぬ,ワンワンと鳴く生き物,,1,"2017/03/28 19:57:48"
チョコ,ちょこ,お菓子,,1,"2017/03/28 20:07:06"
