名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,電話番号,携帯,キャリア,カレーの食べ方
木村 六郎,きむら ろくろう,kimura_rokurou@example.com,男,76,1942/4/7,既婚,AB型,神奈川県,076-875-3627,080-9557-3655,au,左ルー・別口派
中塚 ヒロ,なかづか ひろ,nakaduka_hiro@example.com,男,35,1983/2/25,既婚,A型,宮崎県,098-462-  72,080-8283-2336,ドコモ,奥ルー・ルー攻め派
西井 春樹,にしい はるき,nishii_haruki@example.com,女,55,1963/5/15,既婚,A型,千葉県,027-359-1213,080-5585-9590,ソフトバンク,ぶっかけ・せき止め派
松本 博之,まつもと ひろゆき,matsumoto_hiroyuki@example.com,男,42,1976/5/18,既婚,O型,石川県,061-259-3619,090-5366-4839,ソフトバンク,別盛り・せき止め派
西脇 紗季,にしわき さき,nishiwaki_saki@example.com,女,59,1959/7/27,既婚,A型,和歌山県,082-154-8228,090-9461-5437,ドコモ,左ルー・ルー攻め派
菅井 直人,すがい なおと,sugai_naoto@example.com,男,26,1992/3/13,未婚,B型,愛知県,043- 55-7305,090- 229-8959,ドコモ,手前ルー・せき止め派
有田 真悠子,ありた まゆこ,arita_mayuko@example.com,女,48,1970/1/20,既婚,A型,愛知県,075-647-1528,080-6249-2780,ドコモ,右ルー・ルー攻め派
武田 未來,たけだ みらい,takeda_mirai@example.com,女,66,1952/10/19,既婚,A型,愛知県,093-419-3286,080-9050-4886,ソフトバンク,左ルー・ナン派
小松 ヒカル,こまつ ひかる,komatsu_hikaru@example.com,女,53,1965/1/13,既婚,O型,埼玉県,057-942- 385,080-6969-7983,ドコモ,別盛り・ルー攻め派
生瀬 勝久,なませ かつひさ,namase_katsuhisa@example.com,男,60,1957/12/11,既婚,O型,神奈川県,074-817-7782,080-1725- 552,au,左ルー・混ぜ混ぜ派
大石 友香,おおいし ともか,ooishi_tomoka@example.com,女,52,1966/7/3,既婚,A型,愛知県,0 6-533-3695,090-2063-7643,au,右ルー・別口派
